No.,id,Address,飲水機數量(台),備註,indoor,level,repeat_on,opening_hours,operator,行政區,Address2,Response_Address,Response_X,Response_Y,Similarity,精確程度,Check2
242,238,臺中市南區五權南路370號,1,,,,,,平和里尊天宮,南區,臺中市南區五權南路335號,臺中市南區平和里5鄰五權南路335號,120.669748,24.120119,0.6000,,0
243,239,臺中市南區瑞光街33號,1,,,,,,南門里活動中心,南區,臺中市南區瑞光街33號,臺中市南區南門里25鄰瑞光街31號,120.682043,24.12151,0.8688,OK,1
244,240,臺中市南區文林街20號,1,,,,,,福平里辦公處,南區,臺中市南區文林街20號,臺中市南區福平里14鄰文林街20號,120.664081,24.126638,0.9071,OK,1
245,241,臺中市南區復興路3段158號,1,,,,,,福平里活動中心,南區,臺中市南區復興路3段157號,臺中市南區新榮里4鄰復興路三段157號,120.673459,24.130685,0.6862,medium,0
246,242,臺中市南區柳川西路1段59號,2,,,,,,崇仁活動中心,南區,臺中市南區柳川西路1段59號,臺中市南區西川里9鄰柳川西路一段59號,120.660583,24.13143,0.6833,OK,1
247,243,臺中市南區新華街168號,1,,,,,,新榮里活動中心,南區,臺中市南區新華街168號,臺中市南區新榮里2鄰新華街168號,120.672313,24.129308,0.9455,OK,1
248,244,臺中市南區工學三街25號,1,,,,,,南和里活動中心,南區,臺中市南區工學三街25號,臺中市南區南和里4鄰工學三街25號,120.663198,24.117532,0.9319,OK,1
249,245,臺中市南區崇倫街52-3號,1,,,,,,崇倫里活動中心,南區,臺中市南區崇倫街52-3號,臺中市南區崇倫里19鄰崇倫街52之3號,120.657329,24.128708,0.9024,OK,1
250,246,臺中市南區建成路1775巷2之1號,1,,,,,,江川里辦公處,南區,臺中市南區建成路1775巷2之1號,臺中市南區江川里1鄰建成路1775巷2之1號,120.671133,24.125862,0.9263,OK,1
251,247,臺中市南區福義路32號,1,,,,,,樹義里辦公處,南區,臺中市南區福義路32號,臺中市南區樹義里24鄰福義路32號,120.655188,24.108235,0.9185,OK,1
252,248,臺中市南區五權南路657號,1,,,,,,永和里活動中心,南區,臺中市南區五權南路657號,臺中市南區永和里11鄰五權南路657號,120.669995,24.114576,0.9231,OK,1
253,249,臺中市南區正義街236號,1,,,,,,國光里活動中心,南區,臺中市南區正義街236號,臺中市南區國光里23鄰正義街236號,120.680961,24.126816,0.9214,OK,1
254,250,臺中市南區長春里合作街6號,1,,,,,,長春閱覽室,南區,臺中市南區長春里合作街6號,臺中市南區長春里20鄰合作街6號,120.679215,24.13348,0.9643,OK,1
255,251,臺中市南區愛國街80號,1,,,,,,萬安集會所,南區,臺中市南區愛國街80號,臺中市南區長春里29鄰愛國街80號,120.6782,24.130745,0.9067,OK,1
256,252,臺中市南區福德街157號,1,,,,,,福順集會所,南區,臺中市南區福德街157號,臺中市南區福順里16鄰福德街157號,120.664726,24.123782,0.9030,OK,1
257,253,臺中市南區復新街89號,4,,,,,,中興活動中心,南區,臺中市南區復新街89號,臺中市南區積善里1鄰復新街89號,120.675923,24.124644,0.9000,OK,1
258,254,臺中市中區成功路300號,1,3樓,yes,3,,,中區區公所,中區,臺中市中區成功路300號,臺中市中區柳川里12鄰成功路300號,120.679527,24.143929,0.9037,OK,1
259,255,臺中市中區成功路300號,1,7樓,yes,7,,,中區圖書館,中區,臺中市中區成功路300號,臺中市中區柳川里12鄰成功路300號,120.679527,24.143929,0.9037,OK,0
260,256,臺中市中區平等街110號,1,,,,,,財團法人臺中市大覺院,中區,臺中市中區平等街110號,臺中市中區光復里21鄰平等街110號,120.681676,24.142321,0.9214,OK,1
261,257,臺中市中區中山路328號,1,,,,,,財團法人臺中市順天宮輔順將軍廟,中區,臺中市中區中山路328號,臺中市中區中華里15鄰中山路328號,120.676383,24.144284,0.9230,OK,1
262,258,臺中市中區建國路159巷27號,1,,,,,,財團法人臺中市幸天宮,中區,臺中市中區建國路159巷27號,臺中市中區綠川里10鄰建國路159巷27號,120.684747,24.138413,0.9211,OK,1
263,259,臺中市中區成功路212號,1,,,,,,萬春宮,中區,臺中市中區成功路212號,臺中市中區光復里20鄰成功路212號,120.681625,24.142081,0.9154,OK,1
264,260,臺中市中區三民路二段87號,1,,,,,,武德宮,中區,臺中市中區三民路二段87號,臺中市中區大墩里10鄰三民路二段85號,120.678994,24.14209,0.8583,medium,1
265,261,臺中市中區民族路121巷10號,1,,,,,,國姓廟,中區,臺中市中區民族路121巷10號,臺中市中區大墩里16鄰民族路121巷10號,120.678098,24.140529,0.9176,OK,1
266,262,臺中市中區吉祥街13號,1,,,,,,玄靈道院,中區,臺中市中區吉祥街13號,臺中市中區柳川里14鄰吉祥街13號,120.679465,24.144764,0.9133,OK,1
267,263,臺中市中區光復路152號,1,,,,,,光明寺,中區,臺中市中區光復路152號,臺中市中區大誠里22鄰光復路152號,120.679045,24.145906,0.9063,OK,1
268,264,臺中市中區柳川西路三段36號,1,(仁愛醫院對面),,,,,水仙宮,中區,臺中市中區柳川西路三段36號,臺中市中區大誠里8鄰柳川西路三段36號,120.676794,24.143939,0.9067,OK,1
269,265,臺中市中區民族路59號,1,,,,,,財團法人臺灣基督長老教會臺中市十字園,中區,臺中市中區民族路59號,臺中市中區公園里1鄰民族路59號,120.680815,24.138261,0.9250,OK,1
270,266,臺中市中區民族路59號,1,,,,,,財團法人基督教長老教會,中區,臺中市中區民族路59號,臺中市中區公園里1鄰民族路59號,120.680815,24.138261,0.9250,OK,0
271,267,臺中市中區三民路二段42號,1,,,,,,財團法人臺灣臺中聖教會,中區,臺中市中區三民路二段42號,臺中市中區大墩里6鄰三民路二段42號,120.678434,24.141088,0.9133,OK,1
272,268,臺中市中區興中街119號,1,,,,,,財團法人臺灣基督長老教會臺中柳原教會,中區,臺中市中區興中街119號,臺中市中區柳川里25鄰興中街119號,120.680797,24.146045,0.9097,OK,1
273,269,臺中市中區三民路二段100號,1,,,,,,耶穌救主總堂,中區,臺中市中區三民路二段100號,臺中市中區大墩里21鄰三民路二段100號,120.680105,24.14261,0.9067,OK,1
274,270,臺中市中區市府路103號,1,,,,,,聖母聖心修女會德蕾會院,中區,臺中市中區市府路103號,臺中市中區公園里19鄰市府路103號,120.681037,24.140716,0.9214,OK,1
275,271,臺中市中區光復路136號,1,,,,,,耶穌聖心修女會聖心會院,中區,臺中市中區光復路136號,臺中市中區柳川里16鄰光復路136號,120.679551,24.145276,0.9067,OK,1
276,272,臺中市中區公園路115號,1,,,,,,真耶穌教會臺中教會,中區,臺中市中區公園路115號,臺中市中區大誠里32鄰公園路115號,120.679014,24.146719,0.9000,OK,1
277,273,臺中市中區公園路2號,1,4樓之40,yes,4,,,臺中市召會第二會所,中區,臺中市中區公園路2號,臺中市中區繼光里12鄰公園路2號,120.685584,24.141635,0.8933,OK,1
278,274,臺中市中區民族路59號,1,,,,,,民族路長老教會,中區,臺中市中區民族路59號,臺中市中區公園里1鄰民族路59號,120.680815,24.138261,0.9250,OK,0
279,275,臺中市豐原區陽明街36號,4,（陽明市政大樓4樓）,yes,4,,,臺中市政府教育局,豐原區,臺中市豐原區陽明街36號,臺中市豐原區陽明里7鄰陽明街20號,120.720034,24.24723,0.6273,,0
280,276,臺中市東勢區東關路481-1號,1,（濟安宮）,,,,,詒福里辦公處,東勢區,臺中市東勢區東關路481-1號,臺中市東勢區詒福里4鄰東關路481之1號,120.835198,24.226801,0.9200,OK,1
281,277,臺中市東勢區石城街216號,1,,,,,,石城復興宮,東勢區,臺中市東勢區石城街216號,臺中市東勢區茂興里14鄰石城街8之3號,120.795273,24.286102,0.6129,,1
282,278,臺中市東勢區石城街178號,1,,,,,,茂興泰興聯合里辦公處,東勢區,臺中市東勢區石城街216號,臺中市東勢區茂興里14鄰石城街8之3號,120.795273,24.286102,0.5788,,0
283,279,臺中市東勢區東關路民安巷39號,1,,,,,,民安宮,東勢區,臺中市東勢區東關路民安巷39號,臺中市東勢區新盛里7鄰東關路民安巷39號,120.829532,24.24524,0.9257,OK,1
284,280,臺中市西屯區臺灣大道三段99號,2,惠中樓3樓，南側、北側,yes,3,,,臺中市政府社會局,西屯區,臺中市西屯區臺灣大道三段99號,臺中市西屯區惠來里3鄰臺灣大道三段99號,120.647297,24.161989,0.9417,OK,0
285,281,臺中市潭子區中山路2段241巷7號,5,,,,,,臺中市政府社會局(身心障礙福利服務中心),潭子區,臺中市潭子區中山路2段241巷7號,臺中市潭子區甘蔗里1鄰中山路二段241巷7號,120.703934,24.2098,0.7567,OK,1
286,282,臺中市東勢區東蘭路1-4附1號,1,,,,,,臺中市政府社會局(老人福利服務中心),東勢區,臺中市東勢區東蘭路1-4附1號,臺中市東勢區粵寧里1鄰東蘭路1之4號附1,120.826892,24.260744,0.7109,OK,1
287,283,臺中市北區北平路一段65號,1,,,,,,臺中市政府社會局(長青服務中心),北區,臺中市北區雙十路一段65號,臺中市北區新興里3鄰雙十路一段65號,120.685634,24.144098,0.6696,,0
288,284,臺中市沙鹿區福幼街8號,1,,,,,,臺中市政府社會局(兒童福利服務中心),沙鹿區,臺中市沙鹿區福幼街8號,臺中市沙鹿區福興里18鄰福幼街8號,120.56524,24.230904,0.9429,OK,1
289,285,臺中市大里區新光路32號,1,,,,,,臺中市政府社會局(兒童青少年福利服務中心),大里區,臺中市大里區新光路32號,臺中市大里區內新里30鄰新光路32號,120.691791,24.110606,0.9063,OK,1
290,286,臺中市大甲區水源路169號,1,,,,,,臺中市政府社會局(大甲婦女福利服務中心),大甲區,臺中市大甲區水源路169號,臺中市大甲區中山里7鄰水源路169號,120.627098,24.341078,0.9383,OK,1
291,287,臺中市西區三民路一段178號,1,第一分局,,,,,臺中市政府警察局第一分局西區派出所,西區,臺中市西區三民路一段178號,臺中市西區三民里2鄰三民路一段178號,120.675788,24.138263,0.8925,OK,1
292,288,臺中市西區民權路258號,1,第一分局,,,,,臺中市政府警察局第一分局民權派出所,西區,臺中市西區民權路258號,臺中市西區後龍里19鄰民權路258號,120.670771,24.146209,0.9120,OK,1
293,289,臺中市西區精誠二十三街30號,1,第一分局,,,,,臺中市政府警察局第一分局公益派出所,西區,臺中市西區精誠二十三街30號,臺中市西區公德里17鄰精誠二十三街30號,120.656478,24.145813,0.9212,OK,1
294,290,臺中市中區中山路9號,1,第一分局,,,,,臺中市政府警察局第一分局繼中派出所,中區,臺中市中區中山路9號,臺中市中區綠川里6鄰中山路9號,120.683767,24.137301,0.8929,OK,1
295,291,臺中市中區成功路300號,1,第一分局,,,,,臺中市政府警察局第一分局大誠分駐所,中區,臺中市中區成功路300號,臺中市中區柳川里12鄰成功路300號,120.679527,24.143929,0.9037,OK,0
296,292,臺中市北區太原路二段228號,1,第二分局，1樓,yes,1,,,臺中市政府警察局第二分局永興派出所,北區,臺中市北區太原路二段228號,臺中市北區賴福里18鄰太原路二段228號,120.682164,24.165003,0.9143,OK,1
297,293,臺中市北區三民路三段128號,1,第二分局,,,,,臺中市政府警察局第二分局育才派出所,北區,臺中市北區三民路三段128號,臺中市北區新北里7鄰三民路三段128號,120.684636,24.150452,0.9287,OK,1
298,294,臺中市北區臺灣大道一段700號,1,第二分局,,,,,臺中市政府警察局第二分局文正派出所,北區,臺中市北區臺灣大道一段700號,臺中市北區六合里2鄰臺灣大道一段700號,120.674657,24.146994,0.9290,OK,1
299,295,臺中市北區天津路一段2號,1,第二分局,,,,,臺中市政府警察局第二分局立人派出所,北區,臺中市北區天津路一段2號,臺中市北區長青里13鄰天津路一段2號,120.668442,24.169845,0.9172,OK,1
300,296,臺中市北區雙十路一段65號,1,第二分局,,,,,臺中市政府警察局第二分局公園派出所,北區,臺中市北區雙十路一段65號,臺中市北區新興里3鄰雙十路一段65號,120.685634,24.144098,0.9335,OK,1
301,297,臺中市東區振興路6號,1,第三分局,,,,,臺中市政府警察局第三分局立德派出所,東區,臺中市東區振興路6號,臺中市東區新庄里24鄰振興路6號,120.689908,24.135764,0.9259,OK,1
302,298,臺中市東區力行路202號,1,第三分局,,,,,臺中市政府警察局第三分局合作派出所,東區,臺中市東區力行路202號,臺中市東區合作里20鄰力行路42之1號,120.696341,24.15104,0.6262,,1
303,299,臺中市南區美村南路8號,1,第三分局,,,,,臺中市政府警察局第三分局健康派出所,南區,臺中市南區美村南路8號,臺中市南區平和里4鄰美村南路8號,120.666904,24.119662,0.9250,OK,1
304,300,臺中市南區復興路3段157號,1,第三分局,,,,,臺中市政府警察局第三分局正義派出所,南區,臺中市南區復興路3段157號,臺中市南區新榮里4鄰復興路三段157號,120.673459,24.130685,0.7095,OK,1
305,301,臺中市南屯區向心南路811號,1,第四分局,,,,,臺中市政府警察局第四分局警備隊,南屯區,臺中市南屯區向心南路811號,臺中市南屯區豐樂里13鄰向心南路811號,120.643438,24.13421,0.9086,OK,1
306,302,臺中市南屯區大墩路229號,1,第四分局,,,,,臺中市政府警察局第四分局大墩派出所,南屯區,臺中市南屯區大墩路229號,臺中市南屯區同心里1鄰大墩路229號,120.649707,24.141979,0.9310,OK,1
